currency pair,volume(24h)
BTC/USD,15 239 785.27 USD
ETH/USD,248 869.43 USD
BCH/USD,154 843.06 USD
LTC/USD,117 351.02 USD
DOGE/USD,43 163.80 USD
XEM/USD,42 913.26 USD
DASH/USD,14 992.53 USD
LSK/USD,8 614.78 USD
USDT/USD,4 387.83 USD
PLBT/USD,3 962.17 USD
PZM/USD,2 974.81 USD
EOS/USD,1 457.23 USD
USD/RUR,1 449.75 USD
PHI/USD,573.04 USD
EMC/USD,615.55 USD
ZEC/USD,528.71 USD
XRP/USD,466.54 USD
EUR/USD,452.11 USD
NEO/USD,381.87 USD
HB/USD,322.85 USD
VRS/USD,336.78 USD
YOC/USD,270.77 USD
TRX/USD,284.51 USD
CPC/USD,232.11 USD
MDC/USD,221.98 USD
OMG/USD,152.74 USD
BTG/USD,107.86 USD
RLC/USD,68.25 USD
VMR/USD,69.38 USD
USDC/USD,37.34 USD
PPC/USD,33.06 USD
